name,x,y
poly_2,58.743,9.104
poly_2,58.735,9.167
poly_2,58.737,9.232
poly_2,58.723,9.205
poly_2,58.729,9.243
poly_2,58.705,9.22
poly_2,58.685,9.068
poly_2,58.695,9.206
poly_2,58.688,9.23
poly_2,58.666,9.203
poly_2,58.656,9.168
poly_2,58.667,9.15
poly_2,58.623,9.074
poly_2,58.613,8.994
poly_2,58.608,9.018
poly_2,58.584,8.989
poly_2,58.609,8.947
poly_2,58.626,8.956
poly_2,58.623,8.932
poly_2,58.592,8.945
poly_2,58.574,8.923
poly_2,58.596,8.968
poly_2,58.564,8.973
poly_2,58.529,8.925
poly_2,58.559,8.979
poly_2,58.586,8.974
poly_2,58.556,9.001
poly_2,58.551,8.975
poly_2,58.53,8.971
poly_2,58.511,8.908
poly_2,58.54,8.92
poly_2,58.495,8.875
poly_2,58.526,8.88
poly_2,58.488,8.858
poly_2,58.496,8.841
poly_2,58.474,8.828
poly_2,58.473,8.798
poly_2,58.437,8.713
poly_2,58.379,8.715
poly_2,58.366,8.686
poly_2,58.375,8.676
poly_2,58.356,8.671
poly_2,58.333,8.604
poly_2,58.363,8.612
poly_2,58.292,8.533
poly_2,58.317,8.536
poly_2,58.29,8.53
poly_2,58.303,8.514
poly_2,58.289,8.524
poly_2,58.273,8.483
poly_2,58.288,8.535
poly_2,58.259,8.517
poly_2,58.269,8.519
poly_2,58.257,8.47
poly_2,58.266,8.474
poly_2,58.264,8.439
poly_2,58.299,8.445
poly_2,58.266,8.41
poly_2,58.245,8.43
poly_2,58.255,8.389
poly_2,58.211,8.325
poly_2,58.216,8.278
poly_2,58.2,8.3
poly_2,58.209,8.253
poly_2,58.194,8.306
poly_2,58.163,8.268
poly_2,58.189,8.201
poly_2,58.172,8.227
poly_2,58.161,8.211
poly_2,58.17,8.227
poly_2,58.162,8.24
poly_2,58.155,8.235
poly_2,58.15,8.243
poly_2,58.152,8.219
poly_2,58.133,8.259
poly_2,58.123,8.236
poly_2,58.128,8.205
poly_2,58.166,8.191
poly_2,58.126,8.174
poly_2,58.133,8.137
poly_2,58.12,8.166
poly_2,58.104,8.146
poly_2,58.124,8.124
poly_2,58.108,8.124
poly_2,58.122,8.087
poly_2,58.134,8.09
poly_2,58.119,8.061
poly_2,58.161,8.06
poly_2,58.153,8.126
poly_2,58.164,8.077
poly_2,58.188,8.087
poly_2,58.237,8.033
poly_2,58.162,8.051
poly_2,58.144,8.035
poly_2,58.142,7.998
poly_2,58.13,8.012
poly_2,58.145,7.986
poly_2,58.135,7.966
poly_2,58.112,7.956
poly_2,58.102,7.99
poly_2,58.076,7.952
poly_2,58.103,7.935
poly_2,58.07,7.911
poly_2,58.076,7.847
poly_2,58.065,7.82
poly_2,58.08,7.803
poly_2,58.067,7.785
poly_2,58.082,7.784
poly_2,58.052,7.718
poly_2,58.085,7.686
poly_2,58.077,7.712
poly_2,58.104,7.662
poly_2,58.051,7.709
poly_2,58.042,7.684
poly_2,58.051,7.653
poly_2,58.038,7.682
poly_2,58.02,7.674
poly_2,58.025,7.652
poly_2,58.013,7.669
poly_2,58.021,7.624
poly_2,58.044,7.641
poly_2,58.046,7.612
poly_2,58.01,7.624
poly_2,58.004,7.513
poly_2,58.021,7.503
poly_2,58.014,7.432
poly_2,58.035,7.447
poly_2,58.047,7.415
poly_2,58.031,7.432
poly_2,58.027,7.404
poly_2,58.02,7.429
poly_2,58.021,7.395
poly_2,58.008,7.423
poly_2,58.028,7.338
poly_2,58.047,7.32
poly_2,58.026,7.32
poly_2,58.04,7.297
poly_2,58.027,7.276
poly_2,58.074,7.297
poly_2,58.033,7.225
poly_2,58.059,7.18
poly_2,58.028,7.143
poly_2,58.043,7.142
poly_2,58.026,7.122
poly_2,58.041,7.106
poly_2,58.007,7.112
poly_2,57.98,7.053
poly_2,57.997,7.029
poly_2,58.028,7.044
poly_2,58.072,7.145
poly_2,58.084,7.104
poly_2,58.069,7.105
poly_2,58.029,6.989
poly_2,58.046,6.975
poly_2,58.059,7.011
poly_2,58.121,7.059
poly_2,58.113,7.026
poly_2,58.049,6.959
poly_2,58.059,6.935
poly_2,58.082,6.965
poly_2,58.083,6.931
poly_2,58.107,6.954
poly_2,58.093,6.928
poly_2,58.072,6.921
poly_2,58.072,6.893
poly_2,58.086,6.917
poly_2,58.096,6.813
poly_2,58.127,6.904
poly_2,58.113,6.954
poly_2,58.132,7.036
poly_2,58.143,7.018
poly_2,58.131,6.99
poly_2,58.131,6.909
poly_2,58.152,6.858
poly_2,58.172,6.834
poly_2,58.199,6.877
poly_2,58.178,6.831
poly_2,58.185,6.793
poly_2,58.157,6.804
poly_2,58.134,6.868
poly_2,58.107,6.82
poly_2,58.117,6.782
poly_2,58.111,6.765
poly_2,58.109,6.794
poly_2,58.098,6.79
poly_2,58.111,6.747
poly_2,58.163,6.762
poly_2,58.189,6.756
poly_2,58.184,6.739
poly_2,58.131,6.726
poly_2,58.118,6.749
poly_2,58.102,6.726
poly_2,58.097,6.806
poly_2,58.08,6.772
poly_2,58.082,6.819
poly_2,58.056,6.796
poly_2,58.071,6.771
poly_2,58.063,6.726
poly_2,58.077,6.659
poly_2,58.067,6.638
poly_2,58.118,6.553
poly_2,58.131,6.598
poly_2,58.179,6.623
poly_2,58.173,6.717
poly_2,58.195,6.68
poly_2,58.289,6.932
poly_2,58.262,6.815
poly_2,58.22,6.719
poly_2,58.256,6.704
poly_2,58.263,6.661
poly_2,58.321,6.661
poly_2,58.27,6.646
poly_2,58.24,6.668
poly_2,58.233,6.649
poly_2,58.249,6.529
poly_2,58.261,6.518
poly_2,58.256,6.476
poly_2,58.27,6.471
poly_2,58.271,6.393
poly_2,58.291,6.442
poly_2,58.281,6.357
poly_2,58.302,6.323
